Epoch, Loss, Dice Score, Dice Loss, CE Loss, SkelRec Loss, Time
200, -0.5037, 0.8262, 0.1738, 0.1303, -0.8078, 617.27
201, -0.5060, 0.8266, 0.1734, 0.1286, -0.8079, 613.74
202, -0.5069, 0.8268, 0.1732, 0.1282, -0.8083, 614.84
203, -0.5051, 0.8264, 0.1736, 0.1293, -0.8080, 611.55
204, -0.5061, 0.8269, 0.1731, 0.1290, -0.8082, 615.21
205, -0.5080, 0.8271, 0.1729, 0.1278, -0.8087, 615.58
206, -0.5096, 0.8276, 0.1724, 0.1270, -0.8089, 617.30
207, -0.5092, 0.8280, 0.1720, 0.1278, -0.8090, 621.07
208, -0.5074, 0.8270, 0.1730, 0.1284, -0.8087, 620.45
209, -0.5093, 0.8278, 0.1722, 0.1276, -0.8091, 618.34
210, -0.5086, 0.8276, 0.1724, 0.1279, -0.8089, 620.35
211, -0.5072, 0.8272, 0.1728, 0.1287, -0.8087, 620.23
212, -0.5115, 0.8286, 0.1714, 0.1267, -0.8096, 621.17
213, -0.5120, 0.8286, 0.1714, 0.1264, -0.8098, 616.90
214, -0.5113, 0.8285, 0.1715, 0.1269, -0.8096, 618.76
215, -0.5122, 0.8287, 0.1713, 0.1264, -0.8099, 618.58
216, -0.5135, 0.8292, 0.1708, 0.1258, -0.8101, 620.46
217, -0.5142, 0.8295, 0.1705, 0.1258, -0.8105, 618.74
218, -0.5137, 0.8294, 0.1706, 0.1259, -0.8102, 620.73
219, -0.5149, 0.8298, 0.1702, 0.1252, -0.8103, 620.16
220, -0.5160, 0.8301, 0.1699, 0.1249, -0.8108, 611.99
221, -0.5143, 0.8295, 0.1705, 0.1256, -0.8104, 614.21
222, -0.5164, 0.8300, 0.1700, 0.1246, -0.8109, 613.90
223, -0.5159, 0.8301, 0.1699, 0.1248, -0.8106, 614.20
224, -0.5150, 0.8298, 0.1702, 0.1252, -0.8104, 615.62
225, -0.5167, 0.8304, 0.1696, 0.1248, -0.8110, 616.22
226, -0.5170, 0.8304, 0.1696, 0.1245, -0.8111, 615.16
227, -0.5153, 0.8300, 0.1700, 0.1254, -0.8107, 611.83
228, -0.5157, 0.8301, 0.1699, 0.1251, -0.8107, 615.35
229, -0.5156, 0.8301, 0.1699, 0.1251, -0.8106, 613.66
230, -0.5189, 0.8311, 0.1689, 0.1239, -0.8117, 614.05
231, -0.5183, 0.8309, 0.1691, 0.1240, -0.8114, 616.39
232, -0.5172, 0.8312, 0.1688, 0.1256, -0.8116, 600.05
233, -0.5175, 0.8309, 0.1691, 0.1245, -0.8111, 572.41
234, -0.5197, 0.8314, 0.1686, 0.1235, -0.8118, 574.46
235, -0.5219, 0.8320, 0.1680, 0.1225, -0.8123, 572.68
236, -0.5185, 0.8310, 0.1690, 0.1244, -0.8118, 573.52
237, -0.5201, 0.8317, 0.1683, 0.1235, -0.8118, 570.73
238, -0.5215, 0.8320, 0.1680, 0.1228, -0.8123, 571.75
239, -0.5194, 0.8317, 0.1683, 0.1242, -0.8119, 573.40
240, -0.5200, 0.8317, 0.1683, 0.1234, -0.8116, 572.14
241, -0.5217, 0.8323, 0.1677, 0.1228, -0.8123, 571.33
242, -0.5224, 0.8326, 0.1674, 0.1229, -0.8127, 572.60
243, -0.5261, 0.8335, 0.1665, 0.1206, -0.8132, 573.04
244, -0.5240, 0.8329, 0.1671, 0.1221, -0.8132, 573.67
245, -0.5236, 0.8327, 0.1673, 0.1220, -0.8130, 571.77
246, -0.5224, 0.8324, 0.1676, 0.1226, -0.8126, 573.47
247, -0.5244, 0.8332, 0.1668, 0.1220, -0.8132, 572.60
248, -0.5224, 0.8328, 0.1672, 0.1232, -0.8129, 571.43
249, -0.5248, 0.8333, 0.1667, 0.1220, -0.8135, 573.30
250, -0.5255, 0.8337, 0.1663, 0.1217, -0.8134, 573.55
251, -0.5269, 0.8340, 0.1660, 0.1208, -0.8137, 572.43
252, -0.5268, 0.8339, 0.1661, 0.1208, -0.8137, 571.17
253, -0.5253, 0.8335, 0.1665, 0.1216, -0.8134, 573.20
254, -0.5243, 0.8333, 0.1667, 0.1221, -0.8131, 574.55
255, -0.5258, 0.8338, 0.1662, 0.1215, -0.8135, 571.79
256, -0.5281, 0.8344, 0.1656, 0.1207, -0.8144, 570.88
257, -0.5260, 0.8343, 0.1657, 0.1219, -0.8136, 570.77
258, -0.5264, 0.8340, 0.1660, 0.1211, -0.8135, 572.15
259, -0.5269, 0.8341, 0.1659, 0.1211, -0.8139, 570.22
260, -0.5297, 0.8350, 0.1650, 0.1198, -0.8145, 574.22
261, -0.5282, 0.8344, 0.1656, 0.1203, -0.8141, 570.36
262, -0.5294, 0.8351, 0.1649, 0.1200, -0.8144, 573.37
263, -0.5296, 0.8350, 0.1650, 0.1200, -0.8146, 573.55
264, -0.5294, 0.8349, 0.1651, 0.1199, -0.8144, 571.14
265, -0.5282, 0.8347, 0.1653, 0.1205, -0.8140, 570.13
266, -0.5300, 0.8351, 0.1649, 0.1195, -0.8144, 572.49
267, -0.5298, 0.8354, 0.1646, 0.1201, -0.8145, 571.68
268, -0.5312, 0.8355, 0.1645, 0.1194, -0.8150, 570.44
269, -0.5319, 0.8360, 0.1640, 0.1192, -0.8151, 570.66
270, -0.5310, 0.8355, 0.1645, 0.1194, -0.8150, 569.22
271, -0.5332, 0.8363, 0.1637, 0.1185, -0.8154, 570.75
272, -0.5307, 0.8355, 0.1645, 0.1198, -0.8150, 571.48
273, -0.5303, 0.8355, 0.1645, 0.1203, -0.8152, 572.19
274, -0.5311, 0.8356, 0.1644, 0.1196, -0.8151, 573.24
275, -0.5331, 0.8362, 0.1638, 0.1186, -0.8155, 572.71
276, -0.5333, 0.8364, 0.1636, 0.1188, -0.8157, 572.73
277, -0.5341, 0.8366, 0.1634, 0.1182, -0.8156, 573.60
278, -0.5350, 0.8369, 0.1631, 0.1177, -0.8158, 571.57
279, -0.5339, 0.8365, 0.1635, 0.1182, -0.8156, 571.16
280, -0.5352, 0.8370, 0.1630, 0.1178, -0.8160, 572.51
281, -0.5356, 0.8372, 0.1628, 0.1178, -0.8162, 571.67
282, -0.5327, 0.8365, 0.1635, 0.1191, -0.8153, 571.26
283, -0.5358, 0.8373, 0.1627, 0.1175, -0.8159, 571.42
284, -0.5333, 0.8366, 0.1634, 0.1190, -0.8157, 573.97
285, -0.5360, 0.8373, 0.1627, 0.1176, -0.8163, 572.21
286, -0.5360, 0.8375, 0.1625, 0.1178, -0.8163, 574.98
287, -0.5357, 0.8372, 0.1628, 0.1179, -0.8164, 573.71
288, -0.5378, 0.8378, 0.1622, 0.1166, -0.8166, 575.01
289, -0.5354, 0.8373, 0.1627, 0.1182, -0.8164, 573.95
290, -0.5377, 0.8380, 0.1620, 0.1170, -0.8168, 573.66
291, -0.5376, 0.8379, 0.1621, 0.1168, -0.8165, 573.83
292, -0.5386, 0.8381, 0.1619, 0.1164, -0.8168, 574.63
293, -0.5381, 0.8378, 0.1622, 0.1166, -0.8169, 573.55
294, -0.5396, 0.8386, 0.1614, 0.1164, -0.8174, 574.07
295, -0.5405, 0.8389, 0.1611, 0.1160, -0.8176, 586.59
296, -0.5396, 0.8386, 0.1614, 0.1162, -0.8172, 577.36
297, -0.5391, 0.8384, 0.1616, 0.1163, -0.8171, 572.42
298, -0.5409, 0.8391, 0.1609, 0.1156, -0.8175, 575.34
299, -0.5391, 0.8385, 0.1615, 0.1164, -0.8170, 573.77
300, -0.5396, 0.8386, 0.1614, 0.1163, -0.8173, 574.05
301, -0.5431, 0.8398, 0.1602, 0.1149, -0.8181, 573.16
302, -0.5403, 0.8387, 0.1613, 0.1156, -0.8172, 575.58
303, -0.5415, 0.8393, 0.1607, 0.1156, -0.8178, 573.43
304, -0.5407, 0.8392, 0.1608, 0.1161, -0.8176, 576.13
305, -0.5440, 0.8401, 0.1599, 0.1144, -0.8183, 574.68
306, -0.5416, 0.8395, 0.1605, 0.1154, -0.8176, 575.37
307, -0.5425, 0.8396, 0.1604, 0.1152, -0.8181, 574.33
308, -0.5427, 0.8396, 0.1604, 0.1151, -0.8182, 573.57
309, -0.5416, 0.8395, 0.1605, 0.1158, -0.8180, 573.04
310, -0.5409, 0.8390, 0.1610, 0.1157, -0.8175, 574.27
311, -0.5414, 0.8393, 0.1607, 0.1156, -0.8176, 573.75
312, -0.5441, 0.8402, 0.1598, 0.1144, -0.8183, 573.92
313, -0.5426, 0.8397, 0.1603, 0.1153, -0.8183, 573.87
314, -0.5413, 0.8395, 0.1605, 0.1162, -0.8179, 573.00
315, -0.5432, 0.8400, 0.1600, 0.1151, -0.8183, 573.54
316, -0.5442, 0.8403, 0.1597, 0.1145, -0.8185, 574.54
317, -0.5443, 0.8403, 0.1597, 0.1147, -0.8187, 574.02
