Epoch, Loss, Dice Score, Dice Loss, CE Loss, Time
221, 0.2807, 0.8311, 0.1689, 0.1118, 286.89
222, 0.2794, 0.8312, 0.1688, 0.1106, 286.34
223, 0.2798, 0.8311, 0.1689, 0.1109, 286.07
224, 0.2820, 0.8306, 0.1694, 0.1127, 287.02
225, 0.2796, 0.8311, 0.1689, 0.1107, 286.53
226, 0.2798, 0.8312, 0.1688, 0.1110, 286.93
227, 0.2789, 0.8317, 0.1683, 0.1106, 286.29
228, 0.2792, 0.8314, 0.1686, 0.1106, 287.54
229, 0.2787, 0.8320, 0.1680, 0.1107, 286.39
230, 0.2769, 0.8326, 0.1674, 0.1094, 287.17
231, 0.2773, 0.8325, 0.1675, 0.1099, 286.40
232, 0.2771, 0.8326, 0.1674, 0.1096, 287.10
233, 0.2774, 0.8324, 0.1676, 0.1098, 286.27
234, 0.2781, 0.8322, 0.1678, 0.1103, 286.73
235, 0.2768, 0.8327, 0.1673, 0.1094, 286.87
236, 0.2761, 0.8331, 0.1669, 0.1092, 286.60
237, 0.2767, 0.8330, 0.1670, 0.1097, 287.95
238, 0.2761, 0.8333, 0.1667, 0.1094, 287.24
239, 0.2751, 0.8339, 0.1661, 0.1089, 286.95
240, 0.2782, 0.8329, 0.1671, 0.1111, 286.74
241, 0.2743, 0.8341, 0.1659, 0.1084, 286.07
242, 0.2757, 0.8335, 0.1665, 0.1092, 286.26
243, 0.2735, 0.8343, 0.1657, 0.1078, 287.51
244, 0.2742, 0.8341, 0.1659, 0.1083, 286.46
245, 0.2740, 0.8343, 0.1657, 0.1083, 286.94
246, 0.2748, 0.8343, 0.1657, 0.1090, 286.72
247, 0.2741, 0.8344, 0.1656, 0.1085, 286.71
248, 0.2734, 0.8345, 0.1655, 0.1078, 286.67
249, 0.2726, 0.8351, 0.1649, 0.1077, 286.10
250, 0.2736, 0.8347, 0.1653, 0.1084, 286.51
251, 0.2727, 0.8349, 0.1651, 0.1076, 286.98
252, 0.2724, 0.8351, 0.1649, 0.1075, 286.05
253, 0.2717, 0.8354, 0.1646, 0.1071, 287.06
254, 0.2711, 0.8357, 0.1643, 0.1068, 286.37
